Taxon	Loci
Stenostelma_capense_PAFTOL031790	313
Stephanostegia_hildebrandtii_PAFTOL025363	315
Stigmatorhynchus_umbellifer_PAFTOL031698	330
Stipecoma_peltigera_PAFTOL031701	292
Stomatostemma_monteiroae_PAFTOL027339	327
Strempeliopsis_strempelioides_PAFTOL025289	325
Streptocaulon_juventas_PAFTOL031696	330
Strophanthus_eminii_PAFTOL031743	332
Strychnos_splendens_PAFTOL005235	292
Suberogerens_cyclophylla_PAFTOL031822	328
Tabernaemontana_divaricata_PAFTOL005308	266
Tacazzea_venosa_PAFTOL004103	283
Tassadia_stricta_CB457	290
Tavaresia_barklyi_PAFTOL027305	317
Temnadenia_odorifera_PAFTOL031711	326
Thenardia_galeottiana_PAFTOL031814	328
Thevetia_bicornuta_PAFTOL031724	328
Topea_micrantha_PAFTOL027255	325
Toxocarpus_kleinii_PAFTOL031792	317
Trichosandra_borbonica_PAFTOL031803	332
Tridentea_gemmiflora_PAFTOL027307	320
Tromotriche_ruschiana_PAFTOL027309	322
Tweedia_brunonis_PAFTOL027251	327
Tylodontia_stipitata_PAFTOL031714	328
Utania_racemosa_PAFTOL005230	243
Vahadenia_caillei_PAFTOL025357	327
Vallaris_solanacea_PAFTOL004042	317
Vallesia_glabra_PAFTOL031744	324
Vinca_difformis_PAFTOL004938	282
Voacanga_thouarsii_PAFTOL006637	326
Wattakaka_volubilis_PAFTOL031745	329
Woodia_mucronata_PAFTOL027241	327
Xysmalobium_undulatum_PAFTOL031746	328
